age,income,employment_type,tenure_months,product_type,loan_amount,tenor,purpose,existing_debt,dbr,ltv,credit_score,ecib_status,dependents,default
44.0,90856.94,Self-Employed,18,Personal Loan,1216948.14,40,Other,354826.39,0.6603,0.0,21.66,Good,0,1
41.8,237382.22,Salaried,90,Auto Finance,3038096.41,26,Business Expansion,521806.73,0.6754,0.7868,71.99,Good,1,0
30.8,174287.91,Salaried,26,Personal Loan,594785.79,55,Business Expansion,190569.29,0.1532,0.0,79.88,Average,1,0
60.2,26715.51,Business,19,Personal Loan,263022.92,37,Medical,52148.19,0.4288,0.0,39.5,Good,1,0
41.9,78350.74,Salaried,56,Home Finance,1320297.35,184,Debt Consolidation,430126.58,0.5491,0.905,33.34,Average,3,1
48.7,120103.26,Self-Employed,38,Personal Loan,729365.45,13,Wedding,308094.42,0.6809,0.0,3.24,Negative,1,1
35.4,122304.31,Salaried,23,Personal Loan,603529.62,56,Education,216943.64,0.2359,0.0,13.7,Negative,2,1
46.9,152428.35,Salaried,34,Personal Loan,1102182.94,26,Medical,467114.22,0.5335,0.0,37.77,Negative,2,1
26.7,229205.73,Business,9,Personal Loan,2364204.8,36,Medical,45452.5,0.303,0.0,52.2,Good,2,0
37.7,86803.77,Salaried,25,Personal Loan,1284789.31,31,Wedding,47024.95,0.5226,0.0,76.23,Average,0,0
21.0,102861.41,Salaried,54,Business Loan,1311526.01,48,Debt Consolidation,129032.4,0.3702,0.0,54.35,Average,0,0
27.0,35372.23,Business,42,Auto Finance,657627.58,35,Debt Consolidation,74113.92,0.7058,0.8678,96.05,Good,1,1
40.7,164134.4,Salaried,47,Personal Loan,1573196.26,45,Other,979348.05,0.7102,0.0,0.54,Negative,0,1
29.4,166098.74,Salaried,68,Auto Finance,2597118.45,39,Medical,969694.95,0.8874,0.7679,87.09,Good,2,1
26.4,177425.84,Salaried,19,Business Loan,5020670.07,51,Debt Consolidation,1014597.44,1.0314,0.0,49.35,Average,1,1
43.8,68485.41,Salaried,23,Personal Loan,899251.6,56,Medical,39931.03,0.2831,0.0,64.65,Average,4,0
48.9,68710.5,Self-Employed,53,Auto Finance,1128474.02,71,Business Expansion,365519.47,0.6746,0.6583,45.35,Average,1,0
70.0,108001.48,Salaried,43,Personal Loan,1020072.82,27,Other,498962.67,0.7348,0.0,18.69,Negative,0,1
63.7,144401.29,Self-Employed,40,Home Finance,3143732.43,199,Wedding,217347.5,0.2348,0.7053,12.85,Average,0,1
43.3,38976.06,Salaried,32,Business Loan,887305.97,67,Other,129639.21,0.617,0.0,44.69,Average,2,1
43.3,157122.41,Salaried,39,Personal Loan,1289380.99,31,Home Purchase,894792.36,0.7393,0.0,74.13,Negative,3,1
26.8,121350.81,Self-Employed,67,Auto Finance,1157929.94,72,Vehicle Purchase,685485.1,0.6033,0.7658,96.69,Average,0,1
32.2,111810.3,Salaried,27,Auto Finance,1738349.85,76,Business Expansion,280384.03,0.4135,0.9403,44.82,Average,2,1
48.2,184647.78,Salaried,45,Auto Finance,3116652.33,38,Medical,999926.33,0.8955,0.8016,76.2,Good,1,0
34.7,68332.67,Business,42,Personal Loan,445428.48,27,Vehicle Purchase,87217.58,0.3478,0.0,92.35,Average,3,0
45.1,293079.72,Business,50,Home Finance,10747736.87,270,Medical,1232639.04,0.4863,0.6718,89.72,Negative,0,0
21.0,42426.22,Self-Employed,25,Home Finance,1228667.7,196,Home Purchase,84068.19,0.3129,0.7803,44.18,Average,5,0
54.3,59387.54,Salaried,38,Home Finance,2342691.07,220,Wedding,317536.8,0.6249,0.8083,67.58,Good,3,0
52.4,293505.8,Business,121,Personal Loan,2513695.44,28,Home Purchase,468325.94,0.4388,0.0,39.1,Average,0,1
28.3,278353.89,Salaried,13,Personal Loan,3976670.01,31,Education,1024479.04,0.7676,0.0,62.65,Good,0,1
52.2,74495.55,Business,47,Business Loan,1999637.62,102,Home Purchase,16458.39,0.2816,0.0,0.41,Negative,4,1
24.8,67066.16,Salaried,83,Personal Loan,422300.97,21,Debt Consolidation,270290.32,0.6357,0.0,42.54,Negative,3,1
62.7,283000.66,Self-Employed,19,Home Finance,8633710.18,246,Vehicle Purchase,1533554.07,0.5756,0.8352,86.28,Good,1,0
34.8,29215.7,Business,109,Auto Finance,478310.73,71,Home Purchase,162425.43,0.6939,0.7976,46.07,Good,1,0
36.5,94354.84,Salaried,49,Personal Loan,1298460.39,34,Education,550906.01,0.8913,0.0,37.83,Good,1,1
26.7,270967.96,Salaried,131,Personal Loan,1886260.61,27,Home Purchase,1299687.65,0.6575,0.0,32.86,Good,1,1
45.4,155516.11,Salaried,28,Auto Finance,1932593.09,51,Education,58170.52,0.2748,0.6943,20.61,Average,1,0
23.3,48929.66,Salaried,11,Personal Loan,477924.38,52,Medical,96146.0,0.3516,0.0,26.72,Average,3,1
56.3,136399.86,Salaried,31,Auto Finance,2025447.91,45,Education,270356.93,0.4952,0.9301,6.76,Negative,2,1
